pid,arrival,priority,burst_index,burst_type,duration
8,16,2,6,IO,18
8,16,2,7,CPU,3
8,16,2,8,IO,24
8,16,2,9,CPU,2
9,18,5,1,CPU,3
9,18,5,2,IO,30
9,18,5,3,CPU,5
9,18,5,4,IO,12
9,18,5,5,CPU,3
9,18,5,6,IO,13
9,18,5,7,CPU,2
9,18,5,8,IO,11
9,18,5,9,CPU,3
9,18,5,10,IO,17
9,18,5,11,CPU,2
9,18,5,12,IO,23
9,18,5,13,CPU,2
9,18,5,14,IO,22
9,18,5,15,CPU,5
10,19,0,1,CPU,3
10,19,0,2,IO,11
10,19,0,3,CPU,2
10,19,0,4,IO,18
10,19,0,5,CPU,5
10,19,0,6,IO,23
10,19,0,7,CPU,5
10,19,0,8,IO,22
10,19,0,9,CPU,4
10,19,0,10,IO,19
10,19,0,11,CPU,4
11,21,5,1,CPU,2
11,21,5,2,IO,27
11,21,5,3,CPU,4
11,21,5,4,IO,27
11,21,5,5,CPU,4
11,21,5,6,IO,25
11,21,5,7,CPU,3
11,21,5,8,IO,20
11,21,5,9,CPU,3
11,21,5,10,IO,28
11,21,5,11,CPU,4
11,21,5,12,IO,11
11,21,5,13,CPU,5
11,21,5,14,IO,12
11,21,5,15,CPU,4
12,23,4,1,CPU,1
12,23,4,2,IO,30
12,23,4,3,CPU,4
12,23,4,4,IO,26
12,23,4,5,CPU,3
12,23,4,6,IO,23
12,23,4,7,CPU,4
12,23,4,8,IO,29
12,23,4,9,CPU,2
12,23,4,10,IO,20
12,23,4,11,CPU,2
12,23,4,12,IO,17
12,23,4,13,CPU,5
12,23,4,14,IO,12
12,23,4,15,CPU,4
13,25,2,1,CPU,3
13,25,2,2,IO,14
13,25,2,3,CPU,2
13,25,2,4,IO,30
13,25,2,5,CPU,1
13,25,2,6,IO,29
13,25,2,7,CPU,2
13,25,2,8,IO,19
13,25,2,9,CPU,5
13,25,2,10,IO,19
13,25,2,11,CPU,4
13,25,2,12,IO,17
13,25,2,13,CPU,3
13,25,2,14,IO,15
13,25,2,15,CPU,5
14,25,9,1,CPU,3
14,25,9,2,IO,30
14,25,9,3,CPU,5
14,25,9,4,IO,18
14,25,9,5,CPU,2
14,25,9,6,IO,26
14,25,9,7,CPU,5
14,25,9,8,IO,12
14,25,9,9,CPU,1
14,25,9,10,IO,29
14,25,9,11,CPU,3
14,25,9,12,IO,21
14,25,9,13,CPU,3
15,26,4,1,CPU,2
15,26,4,2,IO,24
15,26,4,3,CPU,5
15,26,4,4,IO,10
15,26,4,5,CPU,5
15,26,4,6,IO,14
15,26,4,7,CPU,4
15,26,4,8,IO,17
15,26,4,9,CPU,3
16,29,3,1,CPU,5
16,29,3,2,IO,10
16,29,3,3,CPU,3
16,29,3,4,IO,19
16,29,3,5,CPU,3
16,29,3,6,IO,29
16,29,3,7,CPU,3
16,29,3,8,IO,27
16,29,3,9,CPU,2
16,29,3,10,IO,11
16,29,3,11,CPU,2
17,32,5,1,CPU,2
17,32,5,2,IO,16
17,32,5,3,CPU,5
17,32,5,4,IO,17
17,32,5,5,CPU,3
17,32,5,6,IO,15
17,32,5,7,CPU,1
17,32,5,8,IO,27
17,32,5,9,CPU,5
18,34,9,1,CPU,3
18,34,9,2,IO,21
18,34,9,3,CPU,2
18,34,9,4,IO,12
18,34,9,5,CPU,1
18,34,9,6,IO,28
18,34,9,7,CPU,4
18,34,9,8,IO,18
18,34,9,9,CPU,1
18,34,9,10,IO,14
18,34,9,11,CPU,2
19,35,2,1,CPU,3
19,35,2,2,IO,19
19,35,2,3,CPU,3
19,35,2,4,IO,19
19,35,2,5,CPU,5
19,35,2,6,IO,22
19,35,2,7,CPU,4
19,35,2,8,IO,17
19,35,2,9,CPU,2
20,37,9,1,CPU,1
20,37,9,2,IO,29
20,37,9,3,CPU,3
20,37,9,4,IO,12
20,37,9,5,CPU,2
20,37,9,6,IO,12
20,37,9,7,CPU,5
20,37,9,8,IO,14
20,37,9,9,CPU,5
20,37,9,10,IO,13
20,37,9,11,CPU,5
20,37,9,12,IO,24
20,37,9,13,CPU,3
21,37,8,1,CPU,5
21,37,8,2,IO,15
21,37,8,3,CPU,5
21,37,8,4,IO,27
21,37,8,5,CPU,5
21,37,8,6,IO,23
21,37,8,7,CPU,3
21,37,8,8,IO,10
21,37,8,9,CPU,3
22,39,7,1,CPU,2
22,39,7,2,IO,18
22,39,7,3,CPU,2
22,39,7,4,IO,14
22,39,7,5,CPU,2
22,39,7,6,IO,20
22,39,7,7,CPU,5
22,39,7,8,IO,15
22,39,7,9,CPU,2
22,39,7,10,IO,22
22,39,7,11,CPU,2
22,39,7,12,IO,25
22,39,7,13,CPU,3
23,40,4,1,CPU,2
23,40,4,2,IO,19
23,40,4,3,CPU,4
23,40,4,4,IO,24
23,40,4,5,CPU,2
23,40,4,6,IO,28
23,40,4,7,CPU,1
23,40,4,8,IO,21
23,40,4,9,CPU,4
23,40,4,10,IO,28
23,40,4,11,CPU,1
23,40,4,12,IO,27
23,40,4,13,CPU,4
24,41,6,1,CPU,4
24,41,6,2,IO,22
24,41,6,3,CPU,4
24,41,6,4,IO,27
24,41,6,5,CPU,3
24,41,6,6,IO,20
24,41,6,7,CPU,2
24,41,6,8,IO,27
24,41,6,9,CPU,5
24,41,6,10,IO,28
24,41,6,11,CPU,4
24,41,6,12,IO,26
24,41,6,13,CPU,3
25,42,7,1,CPU,3
25,42,7,2,IO,15
25,42,7,3,CPU,5
25,42,7,4,IO,28
25,42,7,5,CPU,4
25,42,7,6,IO,14
25,42,7,7,CPU,4
25,42,7,8,IO,22
25,42,7,9,CPU,2
25,42,7,10,IO,15
25,42,7,11,CPU,4
25,42,7,12,IO,26
25,42,7,13,CPU,4
25,42,7,14,IO,14
25,42,7,15,CPU,4
26,44,3,1,CPU,4
26,44,3,2,IO,25
26,44,3,3,CPU,4
26,44,3,4,IO,15
26,44,3,5,CPU,2
26,44,3,6,IO,20
26,44,3,7,CPU,1
26,44,3,8,IO,11
26,44,3,9,CPU,5
27,46,1,1,CPU,3
27,46,1,2,IO,20
27,46,1,3,CPU,1
27,46,1,4,IO,27
27,46,1,5,CPU,1
27,46,1,6,IO,15
27,46,1,7,CPU,2
27,46,1,8,IO,10
27,46,1,9,CPU,5
27,46,1,10,IO,14
27,46,1,11,CPU,3
27,46,1,12,IO,25
27,46,1,13,CPU,4
27,46,1,14,IO,18
27,46,1,15,CPU,3
28,48,7,1,CPU,1
28,48,7,2,IO,18
28,48,7,3,CPU,4
28,48,7,4,IO,18
28,48,7,5,CPU,1
28,48,7,6,IO,10
28,48,7,7,CPU,1
28,48,7,8,IO,16
28,48,7,9,CPU,5
29,51,6,1,CPU,4
29,51,6,2,IO,15
29,51,6,3,CPU,4
29,51,6,4,IO,12
29,51,6,5,CPU,1
29,51,6,6,IO,16
29,51,6,7,CPU,4
29,51,6,8,IO,25
29,51,6,9,CPU,1
29,51,6,10,IO,13
29,51,6,11,CPU,4
29,51,6,12,IO,24
29,51,6,13,CPU,5
29,51,6,14,IO,21
29,51,6,15,CPU,4
30,52,7,1,CPU,2
30,52,7,2,IO,30
30,52,7,3,CPU,3
30,52,7,4,IO,17
30,52,7,5,CPU,3
30,52,7,6,IO,26
30,52,7,7,CPU,3
30,52,7,8,IO,10
30,52,7,9,CPU,3
31,54,5,1,CPU,1
31,54,5,2,IO,23
31,54,5,3,CPU,2
31,54,5,4,IO,13
31,54,5,5,CPU,2
31,54,5,6,IO,11
31,54,5,7,CPU,5
31,54,5,8,IO,28
31,54,5,9,CPU,1
31,54,5,10,IO,28
31,54,5,11,CPU,1
31,54,5,12,IO,20
31,54,5,13,CPU,1
32,54,7,1,CPU,1
32,54,7,2,IO,15
32,54,7,3,CPU,1
32,54,7,4,IO,14
32,54,7,5,CPU,3
32,54,7,6,IO,22
32,54,7,7,CPU,5
32,54,7,8,IO,25
32,54,7,9,CPU,2
33,55,4,1,CPU,5
33,55,4,2,IO,27
33,55,4,3,CPU,5
33,55,4,4,IO,11
33,55,4,5,CPU,1
33,55,4,6,IO,30
33,55,4,7,CPU,1
33,55,4,8,IO,22
33,55,4,9,CPU,1
33,55,4,10,IO,18
33,55,4,11,CPU,1
33,55,4,12,IO,13
33,55,4,13,CPU,2
34,56,2,1,CPU,4
34,56,2,2,IO,19
34,56,2,3,CPU,4
34,56,2,4,IO,12
34,56,2,5,CPU,2
34,56,2,6,IO,25
34,56,2,7,CPU,1
34,56,2,8,IO,11
34,56,2,9,CPU,1
34,56,2,10,IO,12
34,56,2,11,CPU,1
34,56,2,12,IO,16
34,56,2,13,CPU,2
34,56,2,14,IO,21
34,56,2,15,CPU,3
35,57,8,1,CPU,5
35,57,8,2,IO,21
35,57,8,3,CPU,1
35,57,8,4,IO,20
35,57,8,5,CPU,3
35,57,8,6,IO,27
35,57,8,7,CPU,5
35,57,8,8,IO,22
35,57,8,9,CPU,4
36,58,0,1,CPU,1
36,58,0,2,IO,15
36,58,0,3,CPU,5
36,58,0,4,IO,24
36,58,0,5,CPU,3
36,58,0,6,IO,25
36,58,0,7,CPU,2
36,58,0,8,IO,28
36,58,0,9,CPU,2
36,58,0,10,IO,16
36,58,0,11,CPU,4
36,58,0,12,IO,23
36,58,0,13,CPU,2
36,58,0,14,IO,22
36,58,0,15,CPU,3
37,59,7,1,CPU,4
37,59,7,2,IO,26
37,59,7,3,CPU,5
37,59,7,4,IO,27
37,59,7,5,CPU,1
37,59,7,6,IO,20
37,59,7,7,CPU,5
37,59,7,8,IO,23
37,59,7,9,CPU,1
37,59,7,10,IO,15
37,59,7,11,CPU,5
37,59,7,12,IO,21
37,59,7,13,CPU,4
38,59,8,1,CPU,5
38,59,8,2,IO,12
38,59,8,3,CPU,2
38,59,8,4,IO,17
38,59,8,5,CPU,1
38,59,8,6,IO,11
38,59,8,7,CPU,4
38,59,8,8,IO,14
38,59,8,9,CPU,1
38,59,8,10,IO,25
38,59,8,11,CPU,4
39,59,4,1,CPU,5
39,59,4,2,IO,11
39,59,4,3,CPU,3
39,59,4,4,IO,14
39,59,4,5,CPU,2
39,59,4,6,IO,22
39,59,4,7,CPU,3
39,59,4,8,IO,16
39,59,4,9,CPU,3
39,59,4,10,IO,14
39,59,4,11,CPU,5
39,59,4,12,IO,21
39,59,4,13,CPU,5
39,59,4,14,IO,25
39,59,4,15,CPU,1
40,62,1,1,CPU,3
40,62,1,2,IO,15
40,62,1,3,CPU,4
40,62,1,4,IO,16
40,62,1,5,CPU,4
40,62,1,6,IO,26
40,62,1,7,CPU,5
40,62,1,8,IO,21
40,62,1,9,CPU,4
40,62,1,10,IO,17
40,62,1,11,CPU,4
40,62,1,12,IO,14
40,62,1,13,CPU,5
40,62,1,14,IO,28
40,62,1,15,CPU,5
41,65,6,1,CPU,4
41,65,6,2,IO,23
41,65,6,3,CPU,3
41,65,6,4,IO,13
41,65,6,5,CPU,3
41,65,6,6,IO,13
41,65,6,7,CPU,3
41,65,6,8,IO,13
41,65,6,9,CPU,4
41,65,6,10,IO,26
41,65,6,11,CPU,4
41,65,6,12,IO,19
41,65,6,13,CPU,5
41,65,6,14,IO,18
41,65,6,15,CPU,4
42,67,9,1,CPU,5
42,67,9,2,IO,20
42,67,9,3,CPU,5
42,67,9,4,IO,13
42,67,9,5,CPU,4
42,67,9,6,IO,13
42,67,9,7,CPU,3
42,67,9,8,IO,22
42,67,9,9,CPU,4
42,67,9,10,IO,30
42,67,9,11,CPU,2
42,67,9,12,IO,21
42,67,9,13,CPU,5
43,68,1,1,CPU,1
43,68,1,2,IO,27
43,68,1,3,CPU,4
43,68,1,4,IO,30
43,68,1,5,CPU,2
43,68,1,6,IO,16
43,68,1,7,CPU,5
43,68,1,8,IO,16
43,68,1,9,CPU,2
43,68,1,10,IO,21
43,68,1,11,CPU,2
44,71,1,1,CPU,3
44,71,1,2,IO,20
44,71,1,3,CPU,2
44,71,1,4,IO,10
44,71,1,5,CPU,1
44,71,1,6,IO,13
44,71,1,7,CPU,2
44,71,1,8,IO,26
44,71,1,9,CPU,4
44,71,1,10,IO,12
44,71,1,11,CPU,5
45,71,6,1,CPU,2
45,71,6,2,IO,19
45,71,6,3,CPU,3
45,71,6,4,IO,17
45,71,6,5,CPU,3
45,71,6,6,IO,15
45,71,6,7,CPU,4
45,71,6,8,IO,25
45,71,6,9,CPU,3
46,72,0,1,CPU,4
46,72,0,2,IO,10
46,72,0,3,CPU,3
46,72,0,4,IO,28
46,72,0,5,CPU,4
46,72,0,6,IO,13
46,72,0,7,CPU,3
46,72,0,8,IO,18
46,72,0,9,CPU,4
46,72,0,10,IO,30
46,72,0,11,CPU,4
46,72,0,12,IO,11
46,72,0,13,CPU,1
47,75,5,1,CPU,5
47,75,5,2,IO,28
47,75,5,3,CPU,2
47,75,5,4,IO,13
47,75,5,5,CPU,4
47,75,5,6,IO,28
47,75,5,7,CPU,4
47,75,5,8,IO,25
47,75,5,9,CPU,1
47,75,5,10,IO,16
47,75,5,11,CPU,5
48,77,7,1,CPU,4
48,77,7,2,IO,25
48,77,7,3,CPU,4
48,77,7,4,IO,14
48,77,7,5,CPU,2
48,77,7,6,IO,21
48,77,7,7,CPU,4
48,77,7,8,IO,26
48,77,7,9,CPU,2
49,79,4,1,CPU,5
49,79,4,2,IO,14
49,79,4,3,CPU,3
49,79,4,4,IO,23
49,79,4,5,CPU,3
49,79,4,6,IO,20
49,79,4,7,CPU,5
49,79,4,8,IO,16
49,79,4,9,CPU,3
49,79,4,10,IO,18
49,79,4,11,CPU,3
49,79,4,12,IO,11
49,79,4,13,CPU,4
49,79,4,14,IO,24
49,79,4,15,CPU,5
50,80,9,1,CPU,4
50,80,9,2,IO,27
50,80,9,3,CPU,2
50,80,9,4,IO,27
50,80,9,5,CPU,1
50,80,9,6,IO,30
50,80,9,7,CPU,5
50,80,9,8,IO,15
50,80,9,9,CPU,2
50,80,9,10,IO,24
50,80,9,11,CPU,5
50,80,9,12,IO,18
50,80,9,13,CPU,1
51,81,2,1,CPU,1
51,81,2,2,IO,25
51,81,2,3,CPU,3
51,81,2,4,IO,24
51,81,2,5,CPU,4
51,81,2,6,IO,16
51,81,2,7,CPU,4
51,81,2,8,IO,11
51,81,2,9,CPU,2
51,81,2,10,IO,12
51,81,2,11,CPU,1
51,81,2,12,IO,30
51,81,2,13,CPU,5
52,84,9,1,CPU,4
52,84,9,2,IO,24
52,84,9,3,CPU,4
52,84,9,4,IO,28
52,84,9,5,CPU,3
52,84,9,6,IO,20
52,84,9,7,CPU,2
52,84,9,8,IO,28
52,84,9,9,CPU,1
52,84,9,10,IO,10
52,84,9,11,CPU,5
52,84,9,12,IO,22
52,84,9,13,CPU,3
53,85,3,1,CPU,1
53,85,3,2,IO,10
53,85,3,3,CPU,5
53,85,3,4,IO,16
53,85,3,5,CPU,4
53,85,3,6,IO,20
53,85,3,7,CPU,1
53,85,3,8,IO,24
53,85,3,9,CPU,5
53,85,3,10,IO,27
53,85,3,11,CPU,1
53,85,3,12,IO,24
53,85,3,13,CPU,2
53,85,3,14,IO,28
53,85,3,15,CPU,4
54,86,3,1,CPU,2
54,86,3,2,IO,23
54,86,3,3,CPU,1
54,86,3,4,IO,11
54,86,3,5,CPU,1
54,86,3,6,IO,23
54,86,3,7,CPU,3
54,86,3,8,IO,19
54,86,3,9,CPU,1
55,89,0,1,CPU,3
55,89,0,2,IO,16
55,89,0,3,CPU,2
55,89,0,4,IO,28
55,89,0,5,CPU,1
55,89,0,6,IO,25
55,89,0,7,CPU,1
55,89,0,8,IO,20
55,89,0,9,CPU,1
55,89,0,10,IO,13
55,89,0,11,CPU,4
55,89,0,12,IO,27
55,89,0,13,CPU,4
55,89,0,14,IO,21
55,89,0,15,CPU,2
56,91,9,1,CPU,2
56,91,9,2,IO,15
56,91,9,3,CPU,3
56,91,9,4,IO,18
56,91,9,5,CPU,2
56,91,9,6,IO,29
56,91,9,7,CPU,3
56,91,9,8,IO,25
56,91,9,9,CPU,4
56,91,9,10,IO,21
56,91,9,11,CPU,4
57,92,6,1,CPU,2
57,92,6,2,IO,15
57,92,6,3,CPU,4
57,92,6,4,IO,23
57,92,6,5,CPU,3
57,92,6,6,IO,12
57,92,6,7,CPU,2
57,92,6,8,IO,22
57,92,6,9,CPU,5
57,92,6,10,IO,23
57,92,6,11,CPU,1
58,94,8,1,CPU,2
58,94,8,2,IO,18
58,94,8,3,CPU,2
58,94,8,4,IO,13
58,94,8,5,CPU,3
58,94,8,6,IO,26
58,94,8,7,CPU,1
58,94,8,8,IO,17
58,94,8,9,CPU,3
59,94,1,1,CPU,4
59,94,1,2,IO,11
59,94,1,3,CPU,5
59,94,1,4,IO,12
59,94,1,5,CPU,4
59,94,1,6,IO,24
59,94,1,7,CPU,3
59,94,1,8,IO,30
59,94,1,9,CPU,1
59,94,1,10,IO,14
59,94,1,11,CPU,4
60,95,8,1,CPU,1
60,95,8,2,IO,12
60,95,8,3,CPU,1
60,95,8,4,IO,16
60,95,8,5,CPU,1
60,95,8,6,IO,15
60,95,8,7,CPU,3
60,95,8,8,IO,11
60,95,8,9,CPU,4
60,95,8,10,IO,21
60,95,8,11,CPU,5
61,98,1,1,CPU,2
61,98,1,2,IO,16
61,98,1,3,CPU,5
61,98,1,4,IO,21
61,98,1,5,CPU,1
61,98,1,6,IO,26
61,98,1,7,CPU,4
61,98,1,8,IO,16
61,98,1,9,CPU,5
61,98,1,10,IO,27
61,98,1,11,CPU,5
62,100,0,1,CPU,1
62,100,0,2,IO,30
62,100,0,3,CPU,1
62,100,0,4,IO,23
62,100,0,5,CPU,2
62,100,0,6,IO,21
62,100,0,7,CPU,2
62,100,0,8,IO,29
62,100,0,9,CPU,3
62,100,0,10,IO,26
62,100,0,11,CPU,4
62,100,0,12,IO,28
62,100,0,13,CPU,1
63,101,2,1,CPU,1
63,101,2,2,IO,27
63,101,2,3,CPU,5
63,101,2,4,IO,21
63,101,2,5,CPU,3
63,101,2,6,IO,25
63,101,2,7,CPU,2
63,101,2,8,IO,10
63,101,2,9,CPU,5
63,101,2,10,IO,13
63,101,2,11,CPU,4
64,101,9,1,CPU,4
64,101,9,2,IO,23
64,101,9,3,CPU,2
64,101,9,4,IO,27
64,101,9,5,CPU,4
64,101,9,6,IO,16
64,101,9,7,CPU,5
64,101,9,8,IO,24
64,101,9,9,CPU,1
64,101,9,10,IO,25
64,101,9,11,CPU,5
64,101,9,12,IO,13
64,101,9,13,CPU,4
65,102,4,1,CPU,1
65,102,4,2,IO,19
65,102,4,3,CPU,5
65,102,4,4,IO,30
65,102,4,5,CPU,1
65,102,4,6,IO,18
65,102,4,7,CPU,1
65,102,4,8,IO,28
65,102,4,9,CPU,3
65,102,4,10,IO,14
65,102,4,11,CPU,5
66,103,2,1,CPU,5
66,103,2,2,IO,30
66,103,2,3,CPU,1
66,103,2,4,IO,21
66,103,2,5,CPU,5
66,103,2,6,IO,27
66,103,2,7,CPU,3
66,103,2,8,IO,27
66,103,2,9,CPU,5
66,103,2,10,IO,30
66,103,2,11,CPU,2
67,104,6,1,CPU,4
67,104,6,2,IO,15
67,104,6,3,CPU,1
67,104,6,4,IO,13
67,104,6,5,CPU,1
67,104,6,6,IO,15
67,104,6,7,CPU,1
67,104,6,8,IO,15
67,104,6,9,CPU,5
68,105,6,1,CPU,2
68,105,6,2,IO,13
68,105,6,3,CPU,1
68,105,6,4,IO,15
68,105,6,5,CPU,2
68,105,6,6,IO,30
68,105,6,7,CPU,5
68,105,6,8,IO,30
68,105,6,9,CPU,1
68,105,6,10,IO,12
68,105,6,11,CPU,2
68,105,6,12,IO,22
68,105,6,13,CPU,1
68,105,6,14,IO,30
68,105,6,15,CPU,5
69,106,0,1,CPU,4
69,106,0,2,IO,26
69,106,0,3,CPU,1
69,106,0,4,IO,15
69,106,0,5,CPU,5
69,106,0,6,IO,24
69,106,0,7,CPU,4
69,106,0,8,IO,10
69,106,0,9,CPU,4
70,107,3,1,CPU,5
70,107,3,2,IO,12
70,107,3,3,CPU,2
70,107,3,4,IO,20
70,107,3,5,CPU,5
70,107,3,6,IO,12
70,107,3,7,CPU,4
70,107,3,8,IO,13
70,107,3,9,CPU,5
70,107,3,10,IO,16
70,107,3,11,CPU,4
70,107,3,12,IO,18
70,107,3,13,CPU,2
71,109,8,1,CPU,1
71,109,8,2,IO,23
71,109,8,3,CPU,2
71,109,8,4,IO,20
71,109,8,5,CPU,4
71,109,8,6,IO,12
71,109,8,7,CPU,3
71,109,8,8,IO,17
71,109,8,9,CPU,5
72,110,4,1,CPU,2
72,110,4,2,IO,26
72,110,4,3,CPU,2
72,110,4,4,IO,25
72,110,4,5,CPU,4
72,110,4,6,IO,26
72,110,4,7,CPU,1
72,110,4,8,IO,16
72,110,4,9,CPU,3
72,110,4,10,IO,28
72,110,4,11,CPU,5
72,110,4,12,IO,29
72,110,4,13,CPU,2
72,110,4,14,IO,16
72,110,4,15,CPU,2
73,113,3,1,CPU,5
73,113,3,2,IO,22
73,113,3,3,CPU,3
73,113,3,4,IO,18
73,113,3,5,CPU,4
73,113,3,6,IO,25
73,113,3,7,CPU,5
73,113,3,8,IO,21
73,113,3,9,CPU,2
73,113,3,10,IO,12
73,113,3,11,CPU,4
73,113,3,12,IO,22
73,113,3,13,CPU,4
74,113,2,1,CPU,4
74,113,2,2,IO,25
74,113,2,3,CPU,5
74,113,2,4,IO,13
74,113,2,5,CPU,2
74,113,2,6,IO,25
74,113,2,7,CPU,4
74,113,2,8,IO,26
74,113,2,9,CPU,3
74,113,2,10,IO,26
74,113,2,11,CPU,3
74,113,2,12,IO,22
74,113,2,13,CPU,1
75,113,1,1,CPU,4
75,113,1,2,IO,13
75,113,1,3,CPU,4
75,113,1,4,IO,22
75,113,1,5,CPU,4
75,113,1,6,IO,26
75,113,1,7,CPU,4
75,113,1,8,IO,28
75,113,1,9,CPU,4
75,113,1,10,IO,30
75,113,1,11,CPU,4
75,113,1,12,IO,17
75,113,1,13,CPU,2
75,113,1,14,IO,22
75,113,1,15,CPU,1
76,116,2,1,CPU,4
76,116,2,2,IO,23
76,116,2,3,CPU,4
76,116,2,4,IO,15
76,116,2,5,CPU,2
76,116,2,6,IO,26
76,116,2,7,CPU,5
76,116,2,8,IO,26
76,116,2,9,CPU,3
76,116,2,10,IO,21
76,116,2,11,CPU,1
76,116,2,12,IO,13
76,116,2,13,CPU,2
77,117,2,1,CPU,4
77,117,2,2,IO,11
77,117,2,3,CPU,2
77,117,2,4,IO,28
77,117,2,5,CPU,1
77,117,2,6,IO,20
77,117,2,7,CPU,3
77,117,2,8,IO,28
77,117,2,9,CPU,1
77,117,2,10,IO,23
77,117,2,11,CPU,4
77,117,2,12,IO,22
77,117,2,13,CPU,3
78,119,4,1,CPU,4
78,119,4,2,IO,28
78,119,4,3,CPU,4
78,119,4,4,IO,28
78,119,4,5,CPU,3
78,119,4,6,IO,23
78,119,4,7,CPU,5
78,119,4,8,IO,25
78,119,4,9,CPU,4
78,119,4,10,IO,10
78,119,4,11,CPU,3
79,121,8,1,CPU,5
79,121,8,2,IO,10
79,121,8,3,CPU,2
79,121,8,4,IO,29
79,121,8,5,CPU,5
79,121,8,6,IO,28
79,121,8,7,CPU,5
79,121,8,8,IO,26
79,121,8,9,CPU,4
80,123,1,1,CPU,2
80,123,1,2,IO,21
80,123,1,3,CPU,2
80,123,1,4,IO,30
80,123,1,5,CPU,4
80,123,1,6,IO,18
80,123,1,7,CPU,3
80,123,1,8,IO,17
80,123,1,9,CPU,3
80,123,1,10,IO,29
80,123,1,11,CPU,4
81,126,7,1,CPU,2
81,126,7,2,IO,29
81,126,7,3,CPU,2
81,126,7,4,IO,16
81,126,7,5,CPU,2
81,126,7,6,IO,10
81,126,7,7,CPU,3
81,126,7,8,IO,25
81,126,7,9,CPU,3
81,126,7,10,IO,15
81,126,7,11,CPU,4
81,126,7,12,IO,18
81,126,7,13,CPU,3
81,126,7,14,IO,27
81,126,7,15,CPU,2
82,127,4,1,CPU,1
82,127,4,2,IO,17
82,127,4,3,CPU,3
82,127,4,4,IO,17
82,127,4,5,CPU,3
82,127,4,6,IO,30
82,127,4,7,CPU,5
82,127,4,8,IO,30
82,127,4,9,CPU,2
82,127,4,10,IO,18
82,127,4,11,CPU,2
82,127,4,12,IO,24
82,127,4,13,CPU,3
82,127,4,14,IO,27
82,127,4,15,CPU,5
83,130,2,1,CPU,5
83,130,2,2,IO,29
83,130,2,3,CPU,3
83,130,2,4,IO,16
83,130,2,5,CPU,1
83,130,2,6,IO,29
83,130,2,7,CPU,1
83,130,2,8,IO,10
83,130,2,9,CPU,2
84,133,3,1,CPU,5
84,133,3,2,IO,12
84,133,3,3,CPU,5
84,133,3,4,IO,13
84,133,3,5,CPU,3
84,133,3,6,IO,11
84,133,3,7,CPU,4
84,133,3,8,IO,26
84,133,3,9,CPU,3
84,133,3,10,IO,26
84,133,3,11,CPU,5
84,133,3,12,IO,22
84,133,3,13,CPU,3
85,133,6,1,CPU,1
85,133,6,2,IO,27
85,133,6,3,CPU,2
85,133,6,4,IO,10
85,133,6,5,CPU,2
85,133,6,6,IO,11
85,133,6,7,CPU,3
85,133,6,8,IO,29
85,133,6,9,CPU,5
85,133,6,10,IO,15
85,133,6,11,CPU,4
85,133,6,12,IO,24
